experiment,input_distribution,method,precision,threads,n,trial,seed_x,seed_y,result,reference_fp64,reference_same_precision,abs_reference_fp64,abs_reference_same_precision,sum_abs_products,dot_condition_number_fp64,dot_condition_number_same_precision,abs_error_vs_serial_fp64,scaled_error_vs_sum_abs_products,scaled_parallel_error_vs_sum_abs_products,error_vs_serial_fp64,mixed_error_vs_fp64,parallel_error_vs_serial_same_precision
error,normal,serial,mixed_fp32_fp64,,1000000,2,100125,100458,391.80903679516564,391.80905372643281,391.80903679516564,391.80905372643281,391.80903679516564,636529.48386758904,1624.5910547846192,1624.591124988169,1.6931267168729391e-05,2.6599344724542934e-11,0,4.3213057502624904e-08,4.3213057502624904e-08,0
error,normal,openmp,fp64,1,1000000,2,100125,100458,391.80905372643281,391.80905372643281,391.80905372643281,391.80905372643281,391.80905372643281,636529.48386758904,1624.5910547846192,1624.5910547846192,0,0,0,0,,0
error,normal,openmp,mixed_fp32_fp64,1,1000000,2,100125,100458,391.80903679516564,391.80905372643281,391.80903679516564,391.80905372643281,391.80903679516564,636529.48386758904,1624.5910547846192,1624.591124988169,1.6931267168729391e-05,2.6599344724542934e-11,0,4.3213057502624904e-08,4.3213057502624904e-08,0
error,normal,openmp,fp64,2,1000000,2,100125,100458,391.80905372643429,391.80905372643281,391.80905372643281,391.80905372643281,391.80905372643281,636529.48386758904,1624.5910547846192,1624.5910547846192,1.4779288903810084e-12,2.3218545689369e-18,2.3218545689369e-18,3.7720641632056862e-15,,3.7720641632056862e-15
error,normal,openmp,mixed_fp32_fp64,2,1000000,2,100125,100458,391.80903679516564,391.80905372643281,391.80903679516564,391.80905372643281,391.80903679516564,636529.48386758904,1624.5910547846192,1624.591124988169,1.6931267168729391e-05,2.6599344724542934e-11,0,4.3213057502624904e-08,4.3213057502624904e-08,0
error,normal,openmp,fp64,4,1000000,2,100125,100458,391.80905372642457,391.80905372643281,391.80905372643281,391.80905372643281,391.80905372643281,636529.48386758904,1624.5910547846192,1624.5910547846192,8.2422957348171622e-12,1.2948804326763481e-17,1.2948804326763481e-17,2.1036511679416326e-14,,2.1036511679416326e-14
error,normal,openmp,mixed_fp32_fp64,4,1000000,2,100125,100458,391.80903679516564,391.80905372643281,391.80903679516564,391.80905372643281,391.80903679516564,636529.48386758904,1624.5910547846192,1624.591124988169,1.6931267168729391e-05,2.6599344724542934e-11,0,4.3213057502624904e-08,4.3213057502624904e-08,0
error,normal,openmp,fp64,8,1000000,2,100125,100458,391.80905372642076,391.80905372643281,391.80905372643281,391.80905372643281,391.80905372643281,636529.48386758904,1624.5910547846192,1624.5910547846192,1.2050804798491299e-11,1.8932044946716263e-17,1.8932044946716263e-17,3.0756830869215592e-14,,3.0756830869215592e-14
error,normal,openmp,mixed_fp32_fp64,8,1000000,2,100125,100458,391.80903679516564,391.80905372643281,391.80903679516564,391.80905372643281,391.80903679516564,636529.48386758904,1624.5910547846192,1624.591124988169,1.6931267168729391e-05,2.6599344724542934e-11,0,4.3213057502624904e-08,4.3213057502624904e-08,0
error,normal,openmp,fp64,16,1000000,2,100125,100458,391.80905372641274,391.80905372643281,391.80905372643281,391.80905372643281,391.80905372643281,636529.48386758904,1624.5910547846192,1624.5910547846192,2.0065726857865229e-11,3.1523640878258681e-17,3.1523640878258681e-17,5.121302498506181e-14,,5.121302498506181e-14
error,normal,openmp,mixed_fp32_fp64,16,1000000,2,100125,100458,391.80903679516587,391.80905372643281,391.80903679516564,391.80905372643281,391.80903679516564,636529.48386758904,1624.5910547846192,1624.591124988169,1.6931266941355716e-05,2.6599344367334541e-11,3.5720839522106155e-19,4.3213056922307338e-08,4.3213056922307338e-08,5.8031758864740289e-16
error,normal,openmp,fp64,22,1000000,2,100125,100458,391.80905372641189,391.80905372643281,391.80905372643281,391.80905372643281,391.80905372643281,636529.48386758904,1624.5910547846192,1624.5910547846192,2.0918378140777349e-11,3.2863172360337663e-17,3.2863172360337663e-17,5.3389215848449706e-14,,5.3389215848449706e-14
error,normal,openmp,mixed_fp32_fp64,22,1000000,2,100125,100458,391.80903679516564,391.80905372643281,391.80903679516564,391.80905372643281,391.80903679516564,636529.48386758904,1624.5910547846192,1624.591124988169,1.6931267168729391e-05,2.6599344724542934e-11,0,4.3213057502624904e-08,4.3213057502624904e-08,0
error,normal,serial,fp64,,1000000,3,100126,100459,-2329.856074418492,-2329.856074418492,-2329.856074418492,2329.856074418492,2329.856074418492,637134.8270356534,273.46531574688606,273.46531574688606,0,0,0,0,,0
error,normal,serial,mixed_fp32_fp64,,1000000,3,100126,100459,-2329.8560523602018,-2329.856074418492,-2329.8560523602018,2329.856074418492,2329.8560523602018,637134.8270356534,273.46531574688606,273.46531833596333,2.2058290142012993e-05,3.4621071092035337e-11,0,9.4676621376788319e-09,9.4676621376788319e-09,0
error,normal,openmp,fp64,1,1000000,3,100126,100459,-2329.856074418492,-2329.856074418492,-2329.856074418492,2329.856074418492,2329.856074418492,637134.8270356534,273.46531574688606,273.46531574688606,0,0,0,0,,0
error,normal,openmp,mixed_fp32_fp64,1,1000000,3,100126,100459,-2329.8560523602018,-2329.856074418492,-2329.8560523602018,2329.856074418492,2329.8560523602018,637134.8270356534,273.46531574688606,273.46531833596333,2.2058290142012993e-05,3.4621071092035337e-11,0,9.4676621376788319e-09,9.4676621376788319e-09,0
error,normal,openmp,fp64,2,1000000,3,100126,100459,-2329.8560744184424,-2329.856074418492,-2329.856074418492,2329.856074418492,2329.856074418492,637134.8270356534,273.46531574688606,273.46531574688606,4.9567461246624589e-11,7.7797444345089692e-17,7.7797444345089692e-17,2.1274902682130746e-14,,2.1274902682130746e-14
error,normal,openmp,mixed_fp32_fp64,2,1000000,3,100126,100459,-2329.8560523602027,-2329.856074418492,-2329.8560523602018,2329.856074418492,2329.8560523602018,637134.8270356534,273.46531574688606,273.46531833596333,2.2058289232518291e-05,3.4621069664559291e-11,1.4274760430291685e-18,9.4676617473136463e-09,9.4676617473136463e-09,3.9036519052393287e-16
error,normal,openmp,fp64,4,1000000,3,100126,100459,-2329.8560744184056,-2329.856074418492,-2329.856074418492,2329.856074418492,2329.856074418492,637134.8270356534,273.46531574688606,273.46531574688606,8.6401996668428183e-11,1.3561022408777102e-16,1.3561022408777102e-16,3.7084692748668277e-14,,3.7084692748668277e-14
error,normal,openmp,mixed_fp32_fp64,4,1000000,3,100126,100459,-2329.8560523602027,-2329.856074418492,-2329.8560523602018,2329.856074418492,2329.8560523602018,637134.8270356534,273.46531574688606,273.46531833596333,2.2058289232518291e-05,3.4621069664559291e-11,1.4274760430291685e-18,9.4676617473136463e-09,9.4676617473136463e-09,3.9036519052393287e-16
error,normal,openmp,fp64,8,1000000,3,100126,100459,-2329.8560744183983,-2329.856074418492,-2329.856074418492,2329.856074418492,2329.856074418492,637134.8270356534,273.46531574688606,273.46531574688606,9.3677954282611609e-11,1.4703003243200437e-16,1.4703003243200437e-16,4.0207614243292971e-14,,4.0207614243292971e-14
error,normal,openmp,mixed_fp32_fp64,8,1000000,3,100126,100459,-2329.8560523602027,-2329.856074418492,-2329.8560523602018,2329.856074418492,2329.8560523602018,637134.8270356534,273.46531574688606,273.46531833596333,2.2058289232518291e-05,3.4621069664559291e-11,1.4274760430291685e-18,9.4676617473136463e-09,9.4676617473136463e-09,3.9036519052393287e-16
error,normal,openmp,fp64,16,1000000,3,100126,100459,-2329.8560744184015,-2329.856074418492,-2329.856074418492,2329.856074418492,2329.856074418492,637134.8270356534,273.46531574688606,273.46531574688606,9.049472282640636e-11,1.4203386628140227e-16,1.4203386628140227e-16,3.8841336089394665e-14,,3.8841336089394665e-14
error,normal,openmp,mixed_fp32_fp64,16,1000000,3,100126,100459,-2329.8560523602027,-2329.856074418492,-2329.8560523602018,2329.856074418492,2329.8560523602018,637134.8270356534,273.46531574688606,273.46531833596333,2.2058289232518291e-05,3.4621069664559291e-11,1.4274760430291685e-18,9.4676617473136463e-09,9.4676617473136463e-09,3.9036519052393287e-16
error,normal,openmp,fp64,22,1000000,3,100126,100459,-2329.8560744183887,-2329.856074418492,-2329.856074418492,2329.856074418492,2329.856074418492,637134.8270356534,273.46531574688606,273.46531574688606,1.0322764865122736e-10,1.6201853088381063e-16,1.6201853088381063e-16,4.4306448704987887e-14,,4.4306448704987887e-14
error,normal,openmp,mixed_fp32_fp64,22,1000000,3,100126,100459,-2329.8560523602027,-2329.856074418492,-2329.8560523602018,2329.856074418492,2329.8560523602018,637134.8270356534,273.46531574688606,273.46531833596333,2.2058289232518291e-05,3.4621069664559291e-11,1.4274760430291685e-18,9.4676617473136463e-09,9.4676617473136463e-09,3.9036519052393287e-16
error,normal,serial,fp64,,1000000,4,100127,100460,1334.372392984825,1334.372392984825,1334.372392984825,1334.372392984825,1334.372392984825,636078.72611829301,476.68756447775729,476.68756447775729,0,0,0,0,,0
error,normal,serial,mixed_fp32_fp64,,1000000,4,100127,100460,1334.3724421924173,1334.372392984825,1334.3724421924173,1334.372392984825,1334.3724421924173,636078.72611829301,476.68756447775729,476.68754689897145,4.9207592383027077e-05,7.7360852300971041e-11,0,3.6876956269273388e-08,3.6876956269273388e-08,0
error,normal,openmp,fp64,1,1000000,4,100127,100460,1334.372392984825,1334.372392984825,1334.372392984825,1334.372392984825,1334.372392984825,636078.72611829301,476.68756447775729,476.68756447775729,0,0,0,0,,0
