input_distribution,method,precision,threads,n,n_obs,best,median,mean,std,q25,q75,q05,q95,serial_best,serial_median,speedup_best,speedup_median
alternating_sign,openmp,mixed_fp32_fp64,1.0,1919384,8,0.002097311,0.0021524089999999003,0.00218943762499995,0.00015053859150958087,0.00211237575,0.002163957249999975,0.0021007312000000003,0.0024230241499999,0.0021412699999999,0.00221549599999995,1.0209596955339002,1.0293099499212524
alternating_sign,openmp,mixed_fp32_fp64,1.0,3684032,8,0.004174284,0.00456449899999995,0.004707774874999963,0.000568499264511976,0.004378679,0.004806142249999975,0.0042175468,0.0056031758499999,0.004163344,0.0042788815,0.9973791912577102,0.9374263199531967
alternating_sign,openmp,mixed_fp32_fp64,1.0,7071068,8,0.007005084,0.00783520399999995,0.008548752874999987,0.001785939958754534,0.0074997085000000005,0.00871963075,0.0071676506000000004,0.011548351549999999,0.00714471,0.007352289,1.0199320950326936,0.9383659953206128
alternating_sign,openmp,mixed_fp32_fp64,1.0,13572088,8,0.01298809,0.013249616,0.013605608124999951,0.0009447956435398116,0.013153704249999901,0.013575656999999925,0.012999419499999965,0.015127081949999935,0.01301093,0.01453183199999995,1.0017585341647617,1.0967738234828805
alternating_sign,openmp,mixed_fp32_fp64,1.0,26050038,8,0.02448302,0.02919723299999995,0.029719150749999965,0.0039568051372998545,0.026684343749999975,0.03229183249999992,0.025252089699999966,0.03525967905,0.0256516819999999,0.02657848649999995,1.0477335720838319,0.9103084014844829
alternating_sign,openmp,mixed_fp32_fp64,1.0,50000000,8,0.043775039,0.04653313399999995,0.047587852999999965,0.0036714421691683378,0.045393633499999926,0.04895678024999993,0.043937601050000004,0.05335577735,0.044285111,0.045494825,1.0116521198302073,0.9776866737581023
alternating_sign,openmp,mixed_fp32_fp64,2.0,1000000,8,0.000409877,0.00043589750000000004,0.000446257499999975,3.421882308653149e-05,0.00042394225,0.0004557682499999,0.00041436015,0.000500893499999965,0.0010147509999999,0.00107213149999995,2.475745162572918,2.4595954324123213
alternating_sign,openmp,mixed_fp32_fp64,2.0,1919384,8,0.001380277,0.0016595389999999,0.0016709471249999625,0.00023047951764676601,0.00148926325,0.00177856825,0.00140956045,0.002008705599999935,0.0021412699999999,0.00221549599999995,1.551333536674088,1.3350068904678247
alternating_sign,openmp,mixed_fp32_fp64,2.0,3684032,8,0.0023135579999999,0.0026559994999999503,0.00338208149999995,0.0021688194542082606,0.0024031662499999253,0.00293080725,0.002338503549999935,0.006721788199999933,0.004163344,0.0042788815,1.799541658346227,1.6110249644249104
alternating_sign,openmp,mixed_fp32_fp64,2.0,7071068,8,0.003889005,0.0042862909999999005,0.00464949174999995,0.0011436677320919928,0.004039741,0.004638491749999975,0.00393335525,0.0064294164999998986,0.00714471,0.007352289,1.837156290619323,1.7153032773556836
