precision,threads,n,n_obs,q25,median,q75,q05,q95,min,max
fp64,16.0,26050038,12,4.4546137442748535e-14,7.269673981498136e-14,1.5781302727445865e-13,2.6655990560559286e-14,1.9602525501223684e-13,1.1869435433626914e-14,2.0547291249103717e-13
fp64,16.0,50000000,12,7.742054461734767e-14,1.191980470118495e-13,1.9114597393893089e-13,1.678554839856412e-14,2.808928503452552e-13,1.4899544365416315e-16,3.058856265833333e-13
fp64,22.0,1000000,12,4.600736621967126e-15,1.856400028037342e-14,3.1133096879024564e-14,3.7711612546780636e-15,6.215596981425476e-14,3.259023425906773e-15,6.297891717906865e-14
fp64,22.0,1919384,12,1.932192787000507e-14,2.8756505462857106e-14,5.302564001313113e-14,6.559899167873472e-15,5.662158263151582e-14,5.093170037463751e-15,5.676933694614601e-14
fp64,22.0,3684032,12,1.8829202557877e-14,5.579971137973878e-14,6.593311698488322e-14,8.42957996159123e-15,9.322416614431376e-14,7.458155616990221e-15,1.013844659402402e-13
fp64,22.0,7071068,12,4.6357081936791326e-14,7.144265257264096e-14,1.2061224536084335e-13,6.889019522920227e-15,1.5421040757187255e-13,2.1068646388744265e-15,1.7919022228797178e-13
fp64,22.0,13572088,12,4.157229743158651e-14,7.875214160071551e-14,1.0088649980262328e-13,1.1680228846690822e-14,1.139959674248043e-13,1.0016238023678676e-14,1.2130230304043733e-13
fp64,22.0,26050038,12,4.56181657034772e-14,8.200202726612045e-14,1.4848640359809193e-13,2.7178223490025042e-14,1.9194298029832913e-13,1.530156134214554e-14,1.967506802976111e-13
fp64,22.0,50000000,12,5.6741769761612776e-14,1.2330093511494373e-13,1.7769757454733705e-13,2.796839889022735e-14,2.8350024503188e-13,2.234931654812448e-15,3.142293163488797e-13
mixed_fp32_fp64,1.0,1000000,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,1.0,1919384,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,1.0,3684032,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,1.0,7071068,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,1.0,13572088,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,1.0,26050038,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,1.0,50000000,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,2.0,1000000,12,2.0343954394235238e-16,6.400876950413619e-16,1.2225602617346257e-15,6.401668647277821e-17,1.8280282516184256e-15,0.0,2.2129185357208334e-15
mixed_fp32_fp64,2.0,1919384,12,3.637202801115738e-16,1.5768708755545986e-15,2.848028563430409e-15,6.670953851197637e-17,4.221260606627118e-15,0.0,4.4868402710990175e-15
mixed_fp32_fp64,2.0,3684032,12,1.5475488526154988e-15,2.338210779115995e-15,5.435033522739817e-15,6.449346522711869e-16,8.24674493687367e-15,5.056123261557812e-16,8.592574732460845e-15
mixed_fp32_fp64,2.0,7071068,12,3.161191681795856e-15,6.38655735879229e-15,1.3166871739463525e-14,1.0206384228544315e-15,1.454060710474024e-14,6.583951996482582e-16,1.5407356386453548e-14
mixed_fp32_fp64,2.0,13572088,12,4.287934596234539e-15,6.65625737983284e-15,1.296615230130143e-14,2.3813174229812224e-15,2.9629383214440294e-14,1.0979769461274452e-15,3.9513073927454845e-14
mixed_fp32_fp64,2.0,26050038,12,1.6515598521082392e-14,3.6322331779120284e-14,4.0899364145699784e-14,8.921365845388073e-15,6.706983444652395e-14,2.001298389380806e-15,6.776912209462094e-14
mixed_fp32_fp64,2.0,50000000,12,3.0548324840133657e-14,4.499806490718847e-14,8.179888247195647e-14,9.58803180070766e-15,1.240760944399114e-13,6.555804044977356e-15,1.2966061935680688e-13
