precision,threads,n,n_obs,q25,median,q75,q05,q95,min,max
mixed_fp32_fp64,4.0,1919384,12,1.6257262863981566e-19,1.8605011281104608e-19,5.582470848997974e-19,5.1109015431201377e-20,7.438361529874543e-19,0.0,7.440409466961204e-19
mixed_fp32_fp64,4.0,3684032,12,9.692718886599177e-20,1.695571958778787e-19,3.0300352352994666e-19,1.3316023279707536e-20,5.487506802701488e-19,0.0,7.752311796450149e-19
mixed_fp32_fp64,4.0,7071068,12,2.2097524760371926e-20,1.010220960718648e-19,2.9024039351043696e-19,0.0,6.767143375820284e-19,0.0,1.0098106354051173e-18
mixed_fp32_fp64,4.0,13572088,12,1.0526440110907262e-19,2.631804592129236e-19,5.396105580489944e-19,5.262435874537577e-20,6.315252363875645e-19,5.260020965355913e-20,6.315331866131414e-19
mixed_fp32_fp64,4.0,26050038,12,7.539330771023856e-20,2.193667640486338e-19,3.667677593246837e-19,1.1310471630288612e-20,5.030378545933231e-19,0.0,5.481840522652106e-19
mixed_fp32_fp64,4.0,50000000,12,5.714154220786755e-20,1.785631553350005e-19,5.500303107857363e-19,2.857240900680659e-20,9.728477428156137e-19,2.8570322424786953e-20,1.114375215504619e-18
mixed_fp32_fp64,8.0,1000000,12,6.68873066279796e-20,1.7863241531463186e-19,5.132161929459473e-19,0.0,1.4280627314211391e-18,0.0,1.4287797950113256e-18
mixed_fp32_fp64,8.0,1919384,12,1.6263217412434943e-19,2.3261736251711676e-19,4.883181271049953e-19,0.0,6.4158172124390415e-19,0.0,7.440409466961204e-19
mixed_fp32_fp64,8.0,3684032,12,9.696635789653609e-20,1.5746223820172318e-19,1.938160081136565e-19,5.32515571060367e-20,2.810728926393606e-19,0.0,3.8761558982250745e-19
mixed_fp32_fp64,8.0,7071068,12,5.0491170737933944e-20,8.20938854683564e-20,3.0284920704273417e-19,2.776606894842139e-20,6.767143375820284e-19,0.0,1.0098106354051173e-18
mixed_fp32_fp64,8.0,13572088,12,5.264278122446885e-20,1.3158683640037047e-19,2.631197824676247e-19,2.894559653510975e-20,5.737815661821223e-19,0.0,6.318566240868445e-19
mixed_fp32_fp64,8.0,26050038,12,9.596075668812348e-20,1.6449346970955288e-19,2.2621862139195197e-19,2.742412519845492e-20,4.729667613544557e-19,2.741932516433603e-20,5.483530076448735e-19
mixed_fp32_fp64,8.0,50000000,12,1.0892372727153784e-19,1.5714547680617282e-19,2.7498355767893793e-19,4.428190481372315e-20,5.843581550494914e-19,2.8570322424786953e-20,6.000481929640257e-19
mixed_fp32_fp64,16.0,1000000,12,1.5636262038302618e-19,3.5696963308070545e-19,7.145231887616658e-19,0.0,1.0840662603109287e-18,0.0,1.4274760430291685e-18
mixed_fp32_fp64,16.0,1919384,12,3.4913477061472436e-20,2.3235833802314257e-19,3.7155252884331954e-19,0.0,3.7206642771830427e-19,0.0,3.720700366915288e-19
mixed_fp32_fp64,16.0,3684032,12,4.8454445192497464e-20,1.0904600340399183e-19,2.1813653074536557e-19,2.6625778553018354e-20,6.832498620892331e-19,0.0,1.1628467694675225e-18
mixed_fp32_fp64,16.0,7071068,12,7.894411226573105e-20,1.3888545736075306e-19,2.271568421807586e-19,2.776606894842139e-20,5.302564924831365e-19,0.0,8.078485083240939e-19
mixed_fp32_fp64,16.0,13572088,12,5.2642047830083113e-20,1.5789353236456e-19,3.6186979440939614e-19,0.0,5.499018127981714e-19,0.0,5.788921706860847e-19
mixed_fp32_fp64,16.0,26050038,12,5.485224673805426e-20,9.940852871993554e-20,2.1594855318929196e-19,3.632731955910567e-20,3.659698773276643e-19,1.3709662582168014e-20,4.1126475573365513e-19
mixed_fp32_fp64,16.0,50000000,12,4.9996155946981595e-20,1.3572058508030378e-19,2.8571260165289956e-19,0.0,4.1004951335642926e-19,0.0,4.571795755916385e-19
mixed_fp32_fp64,22.0,1000000,12,0.0,2.898916450720888e-19,7.139898479222216e-19,0.0,1.0352786629912398e-18,0.0,1.4274760430291685e-18
mixed_fp32_fp64,22.0,1919384,12,1.6276775331683406e-19,2.791030141308607e-19,3.7154919147830684e-19,7.205710166808483e-20,6.4158172124390415e-19,4.655130274862991e-20,7.440409466961204e-19
mixed_fp32_fp64,22.0,3684032,12,8.472915921421923e-20,9.69599687393235e-20,1.9376355035496403e-19,2.664111965153747e-20,3.3432922103809453e-19,0.0,3.8761558982250745e-19
mixed_fp32_fp64,22.0,7071068,12,5.0499726220217506e-20,1.514378947871724e-19,2.020260168874503e-19,2.776606894842139e-20,6.414062683079996e-19,0.0,8.078485083240939e-19
