precision,threads,n,n_obs,q25,median,q75,q05,q95,min,max
mixed_fp32_fp64,4.0,1919384,12,1.7440782969915415e-20,1.2786397299115199e-19,1.8582523022515167e-19,0.0,5.393846111874107e-19,0.0,7.438064070743341e-19
mixed_fp32_fp64,4.0,3684032,12,1.8172422675444762e-20,4.8453593653542614e-20,1.0300085460898302e-19,0.0,5.901557358497017e-19,0.0,1.1634095696643532e-18
mixed_fp32_fp64,4.0,7071068,12,0.0,1.0101357525181224e-19,3.28356655950573e-19,0.0,5.505889508889378e-19,0.0,6.059203420883979e-19
mixed_fp32_fp64,4.0,13572088,12,4.93193772477922e-20,9.866752351523572e-20,1.316208516290537e-19,2.631978165459436e-20,7.309321365209086e-19,2.6316998786571742e-20,1.1578108421240925e-18
mixed_fp32_fp64,4.0,26050038,12,4.797733299365306e-20,1.2725725692665116e-19,3.4268197721823857e-19,7.542714437251854e-21,7.944339871273034e-19,0.0,8.774241469229561e-19
mixed_fp32_fp64,4.0,50000000,12,8.92930822256418e-20,2.500197433222739e-19,3.5534075890388583e-19,1.7679881372125892e-20,5.999144755624676e-19,0.0,5.999918639618645e-19
mixed_fp32_fp64,8.0,1000000,12,3.351671287675824e-20,1.3386830209195572e-19,1.7859444458322153e-19,0.0,4.372883174534041e-19,0.0,5.353964132700648e-19
mixed_fp32_fp64,8.0,1919384,12,5.233279075260557e-20,1.2789287969477945e-19,1.8607510584439101e-19,0.0,4.557063903915482e-19,0.0,5.578548053057506e-19
mixed_fp32_fp64,8.0,3684032,12,7.268674879926433e-20,9.689199746310855e-20,1.4528289387243444e-19,2.663549983816667e-20,8.67620823760153e-19,0.0,1.4542619620804417e-18
mixed_fp32_fp64,8.0,7071068,12,4.419013582891458e-20,8.835353686498101e-20,2.5245863405226217e-19,0.0,6.086140556406803e-19,0.0,8.58387151291897e-19
mixed_fp32_fp64,8.0,13572088,12,5.2636208160807017e-20,1.0196214330359825e-19,2.368588568594392e-19,7.232528827364381e-21,7.125212520166565e-19,0.0,1.0525553110219025e-18
mixed_fp32_fp64,8.0,26050038,12,5.485425456314566e-20,1.0966538037395975e-19,3.2224549577095967e-19,4.249959165557129e-20,8.705257251082883e-19,2.741897170445093e-20,1.096780183653695e-18
mixed_fp32_fp64,8.0,50000000,12,5.714538328021989e-20,2.1607885011101595e-19,3.499806202852228e-19,2.946646895354316e-20,6.163493570055283e-19,0.0,6.712620098979456e-19
mixed_fp32_fp64,16.0,1000000,12,7.805954425356569e-20,1.7852701955648793e-19,2.2330258853425718e-19,0.0,4.37557335398185e-19,0.0,5.353964132700648e-19
mixed_fp32_fp64,16.0,1919384,12,1.7440782969915415e-20,4.648533783317292e-20,1.1618616450792817e-19,0.0,5.973363595305251e-19,0.0,9.297580088429177e-19
mixed_fp32_fp64,16.0,3684032,12,6.056591654393836e-20,9.693260387982262e-20,1.936867332037262e-19,0.0,7.707891050847039e-19,0.0,1.3573111646084122e-18
mixed_fp32_fp64,16.0,7071068,12,4.101666982921754e-20,7.575973900919884e-20,2.525370709840858e-19,0.0,6.313360684689953e-19,0.0,9.088805131325969e-19
mixed_fp32_fp64,16.0,13572088,12,5.263537942377728e-20,1.5126880604268455e-19,2.6315480703485955e-19,3.486213212032964e-20,6.236920224122634e-19,1.3150052413389782e-20,9.999275454708072e-19
mixed_fp32_fp64,16.0,26050038,12,4.9699723962644414e-20,1.7522607044505876e-19,2.9477444915865753e-19,1.5082918165545638e-20,8.136311239945895e-19,0.0,9.871021652883256e-19
mixed_fp32_fp64,16.0,50000000,12,4.911489179919793e-20,1.9464532248334703e-19,3.499884670423459e-19,3.928862527139087e-21,6.959798274395154e-19,0.0,7.783782880731496e-19
mixed_fp32_fp64,22.0,1000000,12,3.351671287675824e-20,8.925799493876544e-20,2.00821641312075e-19,0.0,3.569647906647987e-19,0.0,3.5701805723977283e-19
mixed_fp32_fp64,22.0,1919384,12,1.7440782969915415e-20,9.301049353376121e-20,1.9753196436615712e-19,0.0,5.393846111874107e-19,0.0,7.438064070743341e-19
mixed_fp32_fp64,22.0,3684032,12,4.842376275796289e-20,6.057846443743299e-20,9.692268214666956e-20,1.332644329532616e-20,7.803651060353266e-19,0.0,1.260360367136383e-18
mixed_fp32_fp64,22.0,7071068,12,4.4160525135721746e-20,1.0098853087481377e-19,2.273049345402549e-19,0.0,7.649165867735831e-19,0.0,9.593738749732969e-19
mixed_fp32_fp64,22.0,13572088,12,5.263972806278487e-20,8.553617364360766e-20,2.6976643791942028e-19,0.0,7.052146622407336e-19,0.0,1.0525553110219025e-18
