experiment,input_distribution,method,precision,threads,n,trial,repeat,seed_x,seed_y,runtime,result
runtime,normal,openmp,fp64,8,1919384,0,5,123,456,0.00477933,2792.7674191567294
runtime,normal,openmp,mixed_fp32_fp64,8,1919384,0,5,123,456,0.0045329530000000002,2792.7675344692057
runtime,normal,openmp,fp64,8,1919384,0,6,123,456,0.014898822000000001,2792.7674191567294
runtime,normal,openmp,mixed_fp32_fp64,8,1919384,0,6,123,456,0.011288701,2792.7675344692052
runtime,normal,openmp,fp64,8,1919384,0,7,123,456,0.0061976679999999999,2792.7674191567298
runtime,normal,openmp,mixed_fp32_fp64,8,1919384,0,7,123,456,0.0049264469999999996,2792.7675344692052
runtime,normal,openmp,fp64,16,1919384,0,0,123,456,0.021026336,2792.7674191567116
runtime,normal,openmp,mixed_fp32_fp64,16,1919384,0,0,123,456,0.026579106000000002,2792.7675344692061
runtime,normal,openmp,fp64,16,1919384,0,1,123,456,0.020503031000000001,2792.7674191567112
runtime,normal,openmp,mixed_fp32_fp64,16,1919384,0,1,123,456,0.025716365000000001,2792.7675344692052
runtime,normal,openmp,fp64,16,1919384,0,2,123,456,0.016837952999999999,2792.7674191567112
runtime,normal,openmp,mixed_fp32_fp64,16,1919384,0,2,123,456,0.020709749,2792.7675344692057
runtime,normal,openmp,fp64,16,1919384,0,3,123,456,0.016980635000000001,2792.7674191567112
runtime,normal,openmp,mixed_fp32_fp64,16,1919384,0,3,123,456,0.015063656,2792.7675344692052
runtime,normal,openmp,fp64,16,1919384,0,4,123,456,0.024158550000000001,2792.7674191567112
runtime,normal,openmp,mixed_fp32_fp64,16,1919384,0,4,123,456,0.015118851000000001,2792.7675344692057
runtime,normal,openmp,fp64,16,1919384,0,5,123,456,0.018591867000000002,2792.7674191567112
runtime,normal,openmp,mixed_fp32_fp64,16,1919384,0,5,123,456,0.019740842000000001,2792.7675344692057
runtime,normal,openmp,fp64,16,1919384,0,6,123,456,0.0087146159999999997,2792.7674191567112
runtime,normal,openmp,mixed_fp32_fp64,16,1919384,0,6,123,456,0.025369473,2792.7675344692061
runtime,normal,openmp,fp64,16,1919384,0,7,123,456,0.012751462,2792.7674191567112
runtime,normal,openmp,mixed_fp32_fp64,16,1919384,0,7,123,456,0.0088277340000000003,2792.7675344692061
runtime,normal,openmp,fp64,22,1919384,0,0,123,456,0.033606999999999998,2792.7674191566744
runtime,normal,openmp,mixed_fp32_fp64,22,1919384,0,0,123,456,0.036325138999999999,2792.7675344692061
runtime,normal,openmp,fp64,22,1919384,0,1,123,456,0.034487599000000001,2792.7674191566744
runtime,normal,openmp,mixed_fp32_fp64,22,1919384,0,1,123,456,0.022644714999999999,2792.7675344692057
runtime,normal,openmp,fp64,22,1919384,0,2,123,456,0.015287379,2792.7674191566739
runtime,normal,openmp,mixed_fp32_fp64,22,1919384,0,2,123,456,0.020180617000000001,2792.7675344692057
runtime,normal,openmp,fp64,22,1919384,0,3,123,456,0.022847486,2792.7674191566734
runtime,normal,openmp,mixed_fp32_fp64,22,1919384,0,3,123,456,0.015883260999999999,2792.7675344692052
runtime,normal,openmp,fp64,22,1919384,0,4,123,456,0.018141510999999999,2792.7674191566753
runtime,normal,openmp,mixed_fp32_fp64,22,1919384,0,4,123,456,0.022714315999999998,2792.7675344692052
runtime,normal,openmp,fp64,22,1919384,0,5,123,456,0.016489031000000001,2792.7674191566748
runtime,normal,openmp,mixed_fp32_fp64,22,1919384,0,5,123,456,0.022972070000000001,2792.7675344692061
runtime,normal,openmp,fp64,22,1919384,0,6,123,456,0.013536609,2792.7674191566744
runtime,normal,openmp,mixed_fp32_fp64,22,1919384,0,6,123,456,0.020402487,2792.7675344692047
runtime,normal,openmp,fp64,22,1919384,0,7,123,456,0.021704916000000001,2792.7674191566753
runtime,normal,openmp,mixed_fp32_fp64,22,1919384,0,7,123,456,0.019495941999999999,2792.7675344692052
runtime,normal,serial,fp64,,3684032,0,0,123,456,0.0033728769999999998,4059.176055285282
runtime,normal,serial,mixed_fp32_fp64,,3684032,0,0,123,456,0.003825948,4059.1761561903222
runtime,normal,serial,fp64,,3684032,0,1,123,456,0.0032602849999999999,4059.176055285282
runtime,normal,serial,mixed_fp32_fp64,,3684032,0,1,123,456,0.0038518570000000002,4059.1761561903222
runtime,normal,serial,fp64,,3684032,0,2,123,456,0.003205327,4059.176055285282
runtime,normal,serial,mixed_fp32_fp64,,3684032,0,2,123,456,0.0038393379999999999,4059.1761561903222
