precision,threads,n,n_obs,q25,median,q75,q05,q95,min,max
mixed_fp32_fp64,4.0,1000000,12,9.277073014458453e-17,2.3035210657670556e-16,5.124484892535305e-16,5.920638349401418e-17,1.1768590958504937e-15,4.7543812114864784e-17,1.3613401201858232e-15
mixed_fp32_fp64,4.0,1919384,12,1.1499632165832145e-16,3.4823881819231984e-16,4.777704148169879e-16,5.973305660446864e-17,7.114238774272604e-16,3.022579337715439e-17,7.289810297123805e-16
mixed_fp32_fp64,4.0,3684032,12,4.7086447704304285e-17,2.94298725710902e-16,5.950014283329309e-16,1.938947260395592e-17,8.95213608842593e-16,2.761378203453196e-18,1.0295471794229505e-15
mixed_fp32_fp64,4.0,7071068,12,6.681528379134633e-17,4.574866970586051e-16,8.643942172247564e-16,1.9967825253380235e-17,1.1354822434976081e-15,1.257395725549632e-17,1.2377298969009186e-15
mixed_fp32_fp64,4.0,13572088,12,1.5092302117083825e-16,2.845148257488037e-16,5.033010729990148e-16,2.837954251687165e-17,9.454165855438832e-16,1.1444554912385725e-17,1.3259188192573658e-15
mixed_fp32_fp64,4.0,26050038,12,1.563855915305392e-16,2.2915141969986887e-16,3.774983826633188e-16,4.292147438000881e-17,8.620515489595287e-16,4.290207962711898e-17,1.1667148641737797e-15
mixed_fp32_fp64,4.0,50000000,12,2.5014223902016785e-16,3.1026356207700365e-16,5.978222907022308e-16,9.292113107037856e-17,7.209391251362223e-16,7.336455498933645e-17,8.270866486584934e-16
mixed_fp32_fp64,8.0,1000000,12,1.461499984089129e-16,2.494402000200353e-16,4.1686379461979955e-16,5.661153830185337e-17,1.4610154954398539e-15,5.3511287073274964e-17,1.6931240188240769e-15
mixed_fp32_fp64,8.0,1919384,12,1.4557545886295793e-16,2.5792937333914423e-16,4.804762388205359e-16,2.5304486627785443e-17,7.864341556415207e-16,1.3311321760004045e-17,1.0244203969678304e-15
mixed_fp32_fp64,8.0,3684032,12,9.902626731890029e-17,3.466829707485444e-16,4.562772649580894e-16,5.0550617705157086e-17,8.052266097230373e-16,2.254597943556455e-17,9.67810664254731e-16
mixed_fp32_fp64,8.0,7071068,12,1.9382621929213522e-16,3.764740313100416e-16,8.307305085960724e-16,6.960330769153476e-17,1.0505169732040125e-15,5.781634136730056e-17,1.2047237663168945e-15
mixed_fp32_fp64,8.0,13572088,12,1.839519085816707e-16,3.6565426683302674e-16,6.30670548334672e-16,7.218038991862064e-17,8.898616341411688e-16,3.134812867305655e-17,1.0033704382832877e-15
mixed_fp32_fp64,8.0,26050038,12,2.30370565593531e-16,3.0106278421628414e-16,4.37190829439319e-16,9.047762522953126e-17,6.969977149023867e-16,3.850456579075952e-17,9.069221726440444e-16
mixed_fp32_fp64,8.0,50000000,12,1.0261308839937694e-16,2.1510712912578216e-16,4.955744168672518e-16,4.930480625319723e-17,8.958195263135289e-16,3.340950924235582e-17,1.0862351853801333e-15
mixed_fp32_fp64,16.0,1000000,12,7.195150007940609e-17,1.9414086584121822e-16,3.3165997450283013e-16,3.558997625782142e-17,1.4317706260238017e-15,1.368615192782264e-17,1.6281354201217385e-15
mixed_fp32_fp64,16.0,1919384,12,2.060066133863027e-16,3.64011879510366e-16,5.918218378425329e-16,6.112924459403428e-17,8.689328133452972e-16,2.93610492267022e-17,9.093774950130137e-16
mixed_fp32_fp64,16.0,3684032,12,2.2707972180252157e-16,3.997895647599729e-16,5.16997708559186e-16,6.629449628835065e-17,9.017554940084838e-16,4.3820556866903866e-17,9.36942406670621e-16
mixed_fp32_fp64,16.0,7071068,12,2.0443295685240393e-16,4.9803927779437985e-16,7.156643374577775e-16,1.1577006595766436e-16,9.641603718294927e-16,8.413899103383743e-17,1.2192852945157283e-15
mixed_fp32_fp64,16.0,13572088,12,2.426940698881772e-16,3.067076968301834e-16,5.240624843932515e-16,1.0367979991136468e-16,6.94091603511213e-16,5.174929177774415e-17,8.033087842613909e-16
mixed_fp32_fp64,16.0,26050038,12,1.5741522269470468e-16,2.6113117446104974e-16,5.816289711731315e-16,1.2592085254898038e-16,8.347390115784218e-16,1.247186480724641e-16,8.671953224302418e-16
mixed_fp32_fp64,16.0,50000000,12,1.0208790770821316e-16,3.2684788127404543e-16,4.096652064650761e-16,2.7848769106276645e-17,7.490586517751323e-16,2.1853277180676368e-18,8.602789417954461e-16
mixed_fp32_fp64,22.0,1000000,12,4.3881259804703486e-17,1.461652423266606e-16,3.545913135899048e-16,1.254652296721531e-17,1.413856672351058e-15,1.1153643126473018e-17,1.501578675280343e-15
mixed_fp32_fp64,22.0,1919384,12,1.7743938591737423e-16,3.5231791708083896e-16,6.806258493787546e-16,2.777212187737809e-17,9.736964570503176e-16,5.333963537144892e-18,1.1621165344427077e-15
mixed_fp32_fp64,22.0,3684032,12,2.5670382066142586e-16,3.538286353503838e-16,6.10214101800391e-16,5.179533559476398e-17,8.40138879775846e-16,1.691023871252426e-17,8.95179469939179e-16
mixed_fp32_fp64,22.0,7071068,12,2.488306014491339e-16,5.262098065233219e-16,7.725758785700436e-16,1.509286393488446e-16,1.0402505509937204e-15,8.672451205095085e-17,1.0882315407262197e-15
